Symbol;Full Name;GICS Sector;Sub Industry;Environment Score;Social Score;Governance Score;ESG Total Score;Controversy Level;Percentile;Rating Year;Rating Month;Market Cap;beta;Overall Risk;Rating Date
MET;MetLife;Financials;Life & Health Insurance;0.69;6.96;8.77;16.43;2.0;15.34;2023;9;54821441536;1.029;4;2023-09-01
META;Meta Platforms;Communication Services;Interactive Media & Services;2.71;21.09;10.29;34.08;4.0;81.17;2023;9;1356780404736;1.213;10;2023-09-01
MGM;MGM Resorts;Consumer Discretionary;Casinos & Gaming;1.3;12.97;10.49;24.76;2.0;47.92;2023;9;11303280640;2.236;1;2023-09-01
MHK;Mohawk Industries;Consumer Discretionary;Home Furnishings;5.75;4.19;4.19;14.14;2.0;9.08;2023;9;9834908672;1.375;1;2023-09-01
MKC;McCormick & Company;Consumer Staples;Packaged Foods & Meats;9.63;11.09;5.35;26.07;2.0;53.45;2023;9;22768777216;0.758;10;2023-09-01
MLM;Martin Marietta Materials;Materials;Construction Materials;16.68;4.77;8.67;30.12;2.0;69.4;2023;9;32638973952;0.908;8;2023-09-01
MMC;Marsh McLennan;Financials;Insurance Brokers;0.09;11.31;9.67;21.07;2.0;32.16;2023;9;113679212544;0.937;1;2023-09-01
MMM;3M;Industrials;Industrial Conglomerates;17.22;13.59;6.54;37.35;5.0;88.51;2023;9;73377218560;0.995;9;2023-09-01
MNST;Monster Beverage;Consumer Staples;Soft Drinks & Non-alcoholic Beverages;12.07;12.04;5.11;29.23;2.0;65.85;2023;9;50022043648;0.737;9;2023-09-01
MO;Altria;Consumer Staples;Tobacco;6.1;17.64;7.58;31.32;3.0;73.6;2023;9;86164111360;0.687;2;2023-09-01
MOS;Mosaic Company (The);Materials;Fertilizers & Agricultural Chemicals;13.87;11.05;8.6;33.52;2.0;79.8;2023;9;8173065216;1.363;3;2023-09-01
MPC;Marathon Petroleum;Energy;Oil & Gas Refining & Marketing;17.09;8.15;5.25;30.49;3.0;70.7;2023;9;54844665856;1.364;6;2023-09-01
